117,14,554,TOTONTEPEC VILLA DE MORELOS
118,26,559,SAN JUAN BAUTISTA VALLE NACIONAL
119,7,340,SAN PEDRO Y SAN PABLO TEQUIXTEPEC
120,21,79,SEGUNDA OFICIALIA DE SALINA CRUZ
121,3,438,SANTA MARIA TLALIXTAC
122,11,153,SAN GABRIEL MIXTEPEC
123,20,516,SANTO DOMINGO TEOJOMULCO
124,21,418,SANTA MARIA JALAPA DEL MARQUES
125,10,513,SANTO DOMINGO PETAPA
126,18,73,SAN ANDRES CHICAHUAXTLA
127,9,474,SANTIAGO LLANO GRANDE
128,10,10,EL BARRIO DE LA SOLEDAD
129,6,426,SANTA MARIA PEÑOLES
130,17,12,CANDELARIA LOXICHA
131,15,564,YUTANDUCHI DE GUERRERO
132,23,540,VILLA TAMAZULAPAM DEL PROGRESO
133,18,73,LA LAGUNA GUADALUPE
134,14,207,LA MIXTEQUITA
135,20,450,SANTIAGO AMOLTEPEC
136,10,198,ESTACION SARABIA
137,10,57,PALOMARES
138,20,566,SAN MATEO YUCUTINDO
139,18,392,SANTA LUCIA MONTEVERDE
140,1,115,SAN BARTOLO COYOTEPEC
141,13,211,SAN JUAN OZOLOTEPEC
142,10,1,BENITO JUAREZ
143,9,10,SAN JUAN CACAHUATEPEC
