127,SAN CRISTOBAL AMOLTEPEC,25,49
128,SAN CRISTOBAL LACHIRIOAG,27,59
129,SAN CRISTOBAL SUCHIXTLAHUACA,2,52
130,SAN DIONISIO DEL MAR,10,21
131,SAN DIONISIO OCOTEPEC,24,10
132,SAN DIONISIO OCOTLAN,16,7
133,SAN ESTEBAN ATATLAHUCA,25,49
134,SAN FELIPE JALAPA DE DIAZ,26,14
135,SAN FELIPE TEJALAPAM,6,6
136,SAN FELIPE USILA,26,92
137,SAN FRANCISCO CAHUACUA,20,113
138,SAN FRANCISCO CAJONOS,27,61
139,SAN FRANCISCO CHAPULAPA,3,121
140,SAN FRANCISCO CHINDUA,15,45
141,SAN FRANCISCO DEL MAR,10,21
142,SAN FRANCISCO HUEHUETLAN,22,38
143,SAN FRANCISCO IXHUATAN,10,23
144,SAN FRANCISCO JALTEPETONGO,15,45
145,SAN FRANCISCO LACHIGOLO,24,8
146,SAN FRANCISCO LOGUECHE,13,63
147,SAN FRANCISCO NUXAÑO,15,45
148,SAN FRANCISCO OZOLOTEPEC,13,141
149,SAN FRANCISCO SOLA,20,65
150,SAN FRANCISCO TELIXTLAHUACA,6,108
151,SAN FRANCISCO TEOPAN,2,132
152,SAN FRANCISCO TLAPANCINGO,19,47
153,SAN GABRIEL MIXTEPEC,11,122
154,SAN ILDEFONSO AMATLAN,13,63
155,SAN ILDEFONSO SOLA,20,65
156,SAN ILDEFONSO VILLA ALTA,27,59
157,SAN JACINTO AMILPAS,1,1
158,SAN JACINTO TLACOTEPEC,20,65
159,SAN JERONIMO COATLAN,13,62
160,SAN JERONIMO SILACAYOAPILLA,7,41
161,SAN JERONIMO SOSOLA,6,114
162,SAN JERONIMO TAVICHE,16,7
163,SAN JERONIMO TECOATL,22,98
164,SAN JORGE NUCHITA,7,41
165,SAN JOSE AYUQUILA,7,41
166,SAN JOSE CHILTEPEC,26,91
167,SAN JOSE DEL PEÑASCO,13,63
168,SAN JOSE ESTANCIA GRANDE,9,77
169,SAN JOSE INDEPENDENCIA,26,16
170,SAN JOSE LACHIGUIRI,13,63
171,SAN JOSE TENANGO,22,39
172,SAN JUAN ACHIUTLA,25,49
173,SAN JUAN ATEPEC,8,55
174,ANIMAS TRUJANO,1,3
175,SAN JUAN BAUTISTA ATATLAHUCA,6,111
176,SAN JUAN BAUTISTA COIXTLAHUACA,2,52
177,SAN JUAN BAUTISTA CUICATLAN,3,37
178,SAN JUAN BAUTISTA GUELACHE,6,6
179,SAN JUAN BAUTISTA JAYACATLAN,6,6
180,SAN JUAN BAUTISTA LO DE SOTO,9,127
181,SAN JUAN BAUTISTA SUCHITEPEC,7,119
182,SAN JUAN BAUTISTA TLACOATZINTEPEC,3,14
183,SAN JUAN BAUTISTA TLACHICHILCO,19,48
184,SAN JUAN BAUTISTA TUXTEPEC,26,13
185,SAN JUAN CACAHUATEPEC,9,143
186,SAN JUAN CIENEGUILLA,19,48
187,SAN JUAN COATZOSPAM,22,39
188,SAN JUAN COLORADO,9,31
189,SAN JUAN COMALTEPEC,4,19
190,SAN JUAN COTZOCON,14,97
191,SAN JUAN CHICOMEZUCHIL,8,55
192,SAN JUAN CHILATECA,16,7
193,SAN JUAN DEL ESTADO,6,6
194,SAN JUAN DEL RIO,24,9
195,SAN JUAN DIUXI,15,45
196,SAN JUAN EVANGELISTA ANALCO,8,55
197,SAN JUAN GUELAVIA,24,8
198,SAN JUAN GUICHICOVI,10,27
199,SAN JUAN IHUALTEPEC,19,47
200,SAN JUAN JUQUILA MIXES,28,69
201,SAN JUAN JUQUILA VIJANOS,27,60
202,SAN JUAN LACHAO,11,122
203,SAN JUAN LACHIGALLA,5,5
204,SAN JUAN LAJARCIA,28,69
205,SAN JUAN LALANA,4,20
206,SAN JUAN DE LOS CUES,22,38
207,SAN JUAN MAZATLAN,14,86
208,SAN JUAN MIXTEPEC,12,53
209,SAN JUAN MIXTEPEC,13,63
210,SAN JUAN ÑUMI,25,49
211,SAN JUAN OZOLOTEPEC,13,141
212,SAN JUAN PETLAPA,4,19
213,SAN JUAN QUIAHIJE,11,32
214,SAN JUAN QUIOTEPEC,8,55
215,SAN JUAN SAYULTEPEC,15,45
216,SAN JUAN TABAA,27,59
217,SAN JUAN TAMAZOLA,15,45
218,SAN JUAN TEITA,25,49
219,SAN JUAN TEITIPAC,24,8
220,SAN JUAN TEPEUXILA,3,37
221,SAN JUAN TEPOSCOLULA,23,46
222,SAN JUAN YAEE,27,60
223,SAN JUAN YATZONA,27,59
224,SAN JUAN YUCUITA,15,45
225,SAN LORENZO,9,29
226,SAN LORENZO ALBARRADAS,24,9
227,SAN LORENZO CACAOTEPEC,6,6
228,SAN LORENZO CUAUNECUILTITLA,22,98
229,SAN LORENZO TEXMELUCAN,20,65
230,SAN LORENZO VICTORIA,19,47
231,SAN LUCAS CAMOTLAN,14,57
232,SAN LUCAS OJITLAN,26,14
233,SAN LUCAS QUIAVINI,24,8
234,SAN LUCAS ZOQUIAPAM,22,98
235,SAN LUIS AMATLAN,13,63
236,SAN MARCIAL OZOLOTEPEC,13,64
237,SAN MARCOS ARTEAGA,7,99
238,SAN MARTIN DE LOS CANSECOS,5,5
239,SAN MARTIN HUAMELULPAM,25,49
240,SAN MARTIN ITUNYOSO,25,49
241,SAN MARTIN LACHILA,5,5
242,SAN MARTIN PERAS,12,50
243,SAN MARTIN TILCAJETE,16,7
244,SAN MARTIN TOXPALAN,22,38
245,SAN MARTIN ZACATEPEC,7,43
246,SAN MATEO CAJONOS,27,61
247,CAPULALPAM DE MENDEZ,8,55
248,SAN MATEO DEL MAR,21,94
249,SAN MATEO YOLOXOCHITLAN,22,39
250,SAN MATEO ETLATONGO,15,45
251,SAN MATEO NEJAPAM,19,48
252,SAN MATEO PEÑASCO,25,49
253,SAN MATEO PIÑAS,17,34
254,SAN MATEO RIO HONDO,13,63
255,SAN MATEO SINDIHUI,15,131
256,SAN MATEO TLAPILTEPEC,2,52
257,SAN MELCHOR BETAZA,27,59
258,SAN MIGUEL ACHIUTLA,25,49
259,SAN MIGUEL AHUEHUETITLAN,19,48
260,SAN MIGUEL ALOAPAM,8,55
261,SAN MIGUEL AMATITLAN,7,43
262,SAN MIGUEL AMATLAN,8,55
263,SAN MIGUEL COATLAN,13,62
264,SAN MIGUEL CHICAHUA,15,45
265,SAN MIGUEL CHIMALAPA,10,81
266,SAN MIGUEL DEL PUERTO,17,36
267,SAN MIGUEL DEL RIO,8,55
268,SAN MIGUEL EJUTLA,5,5
269,SAN MIGUEL EL GRANDE,25,44
270,SAN MIGUEL HUAUTLA,15,45
271,SAN MIGUEL MIXTEPEC,30,12
272,SAN MIGUEL PANIXTLAHUACA,11,32
273,SAN MIGUEL PERAS,29,11
274,SAN MIGUEL PIEDRAS,15,131
275,SAN MIGUEL QUETZALTEPEC,14,76
276,SAN MIGUEL SANTA FLOR,3,121
277,VILLA SOLA DE VEGA,20,65
278,SAN MIGUEL SOYALTEPEC,26,16
279,SAN MIGUEL SUCHIXTEPEC,13,63
280,VILLA TALEA DE CASTRO,27,60
281,SAN MIGUEL TECOMATLAN,15,45
282,SAN MIGUEL TENANGO,21,25
283,SAN MIGUEL TEQUIXTEPEC,2,52
284,SAN MIGUEL TILQUIAPAM,16,7
